ants,ant
nobles,noble
queens,queen
snobs,snob
aristocrats,aristocrat
calculations,calculation
bigots,bigot
boats,boat
forces,force
soldiers,soldier
veterans,veteran
tanks,tank
troops,troop
knights,knight
biceps,bicep
appendages,appendage
elbows,elbow
fatigues,fatigue
smells,smell
cops,cop
cuffs,cuff
trains,train
slings,sling
pointers,pointer
darts,dart
directions,direction
rats,rat
paintings,painting
crafts,craft
hearts,heart
leaves,leaf
spikes,spike
remains,remain
cannons,cannon
breads,bread
humanities,humanity
artists,artist
sculptures,sculpture
walls,wall
has,ha
heavens,heaven
cinders,cinder
cheeks,cheek
ashes,ash
coals,coal
butts,butt
smokers,smoker
asians,asian
noodles,noodle
spears,spear
stalks,stalk
roads,road
stones,stone
streets,street
hopes,hope
desires,desire
lungs,lung
heights,height
tits,tit
charges,charge
avengers,avenger
instructions,instruction
pieces,piece
hymns,hymn
asses,ass
belongings,belonging
stocks,stock
goods,good
assets,asset
boobs,boob
liabilities,liability
holdings,holding
strengths,strength
farces,farce
republicans,republican
duties,duty
marks,mark
chocolates,chocolate
sweets,sweet
inhalers,inhaler
signs,sign
constellations,constellation
galaxies,galaxy
cosmo,cosmos
starts,start
telescopes,telescope
refugees,refugee
shorts,short
athletes,athlete
shrugs,shrug
atoms,atom
molecules,molecule
particles,particle
electrons,electron
protons,proton
neutrons,neutron
bombs,bomb
elements,element
quarks,quark
magnets,magnet
opposites,opposite
stats,stat
characteristics,characteristic
traits,trait
items,item
fans,fan
viewers,viewer
listeners,listener
watchers,watcher
acoustics,acoustic
lectures,lecture
holidays,holiday
cousins,cousin
kangaroos,kangaroo
aborigines,aborigine
koalas,koala
fosters,foster
pastries,pastry
speaks,speak
mechanics,mechanic
americas,america
aeronautics,aeronautic
airlines,airline
pilots,pilot
tactics,tactic
senses,sense
allies,ally
impulses,impulse
diapers,diaper
infants,infant
mothers,mother
nappies,nappy
bottles,bottle
fathers,father
newborns,newborn
toddlers,toddler
adventures,adventure
guts,gut
vertebrae,vertebra
ribs,rib
forwards,forward
ways,way
eggs,egg
bits,bit
strips,strip
guys,guy
boy scouts,boy scout
scouts,scout
stripes,stripe
sucks,suck
ladders,ladder
storms,storm
tornadoes,tornado
groceries,grocery
jews,jew
bags,bag
emotions,emotion
trousers,trouser
jeans,jean
pockets,pocket
eyelids,eyelid
oversizes,oversize
bagpipes,bagpipe
kilts,kilt
funerals,funeral
sacks,sack
totes,tote
hags,hag
handbags,handbag
purses,purse
bonds,bond
worms,worm
biscuits,biscuit
muffins,muffin
potatoes,potato
cupcakes,cupcake
buns,bun
donuts,donut
scones,scone
weights,weight
slippers,slipper
dancers,dancer
balloons,balloon
clowns,clown
elections,election
chandeliers,chandelier
testicles,testicle
basketballs,basketball
bullocks,bullock
spheres,sphere
toys,toy
lips,lip
pandas,panda
shoots,shoot
strawberries,strawberry
drums,drum
brothers,brother
instruments,instrument
musicians,musician
fireworks,firework
pots,pot
tunes,tune
cymbals,cymbal
loans,loan
investments,investment
fees,fee
checks,check
bills,bill
crooks,crook
banks,bank
hordes,horde
furs,fur
sausages,sausage
standards,standard
necessities,necessity
sandals,sandal
soles,sole
beaches,beach
orders,order
oats,oat
horses,horse
kooks,kook
bars,bar
laughs,laugh
pubs,pub
drunks,drunk
taverns,tavern
cocktails,cocktail
graphs,graph
stops,stop
operations,operation
rounders,rounder
bases,basis
yankees,yankee
tapes,tape
eyelashes,eyelash
needs,need
grounds,ground
hoops,hoop
jones,jone
vampires,vampire
pancakes,pancake
waffles,waffle
batteries,battery
chargers,charger
piles,pile
poles,pole
electronics,electronic
stalls,stall
harpers,harper
harper's,harper
burgers,burger
hot dogs,hot dog
bikinis,bikini
coasts,coast
seagulls,seagull
shores,shore
umbrellas,umbrella
sos,so
boys,boy
headlights,headlight
legumes,legume
farts,fart
sprouts,sprout
green bean,green beans
cubs,cub
whiskers,whisker
carries,carry
claws,claw
berries,berry
grizzlies,grizzly
paws,paw
tigers,tiger
wars,war
egg whites,egg white
sixties,sixty
singers,singer
sheets,sheet
roses,rose
covers,cover
pillows,pillow
linens,linen
blankets,blanket
pajamas,pajama
stories,story
steroids,steroid
nets,net
hats,hat
wasps,wasp
beehives,beehive
greens,green
stains,stain
beets,beet
turnips,turnip
rags,rag
beginnings,beginning
endings,ending
origins,origin
ends,end
commencements,commencement
firsts,first
openings,opening
mussels,mussel
thoughts,thought
values,value
beliefs,belief
opinions,opinion
tenets,tenet
views,view
convictions,conviction
morals,moral
rings,ring
whistles,whistle
chimes,chime
hells,hell
owns,own
ours,our
valuables,valuable
loops,loop
pipes,pipe
benefits,benefit
advantages,advantage
perks,perk
gains,gain
rewards,reward
pros,pro
raspberries,raspberry
blueberries,blueberry
cherries,cherry
antioxidants,antioxidant
blackberries,blackberry
bushes,bush
cranberries,cranberry
fruits,fruit
excuses,excuse
tops,top
practices,practice
wishes,wish
smiles,smile
races,race
slots,slot
bowls,bowl
commandments,commandment
proportions,proportion
references,reference
citations,citation
sources,source
names,name
works,work
curls,curl
spokes,spoke
handlebars,handlebar
hell's angels,hell's angel
bottoms,bottom
billiards,billiard
cues,cue
pounds,pound
ducks,duck
payments,payment
debts,debt
invoices,invoice
utilities,utility
ones,one
ropes,rope
straps,strap
terms,term
old ladies,old lady
prizes,prize
squares,square
binoculars,binocular
optics,optic
frogs,frog
lessons,lesson
seeds,seed
chickens,chicken
crows,crow
beaks,beak
condoms,condom
presents,present
crackers,cracker
crumbs,crumb
treats,treat
nails,nail
bytes,byte
bobs,bob
components,component
fragments,fragment
morsels,morsel
peaces,peace
scraps,scrap
tads,tad
bitters,bitter
extremes,extreme
thorns,thorn
brambles,bramble
sings,sing
erasers,eraser
spells,spell
politicians,politician
curtains,curtain
horseshoes,horseshoe
blues,blue
quilts,quilt
forts,fort
hides,hide
buttons,button
blades,blade
shakes,shake
mice,mouse
blinds,blind
windows,window
shades,shade
shutters,shutter
drapes,drape
slats,slat
diamonds,diamond
chains,chain
rappers,rapper
lashes,lash
pms,pm
riots,riot
cubes,cube
jokes,joke
arteries,artery
petals,petal
blossoms,blossom
sleeves,sleeve
whales,whale
skies,sky
clues,clue
reds,red
eyeglasses,eyeglass
tusks,tusk
directors,director
checkers,checker
sails,sail
oars,oar
floats,float
yachts,yacht
corpses,corpse
entities,entity
groups,group
minds,mind
persons,person
selves,self
fluids,fluid
functions,function
secretions,secretion
genitals,genital
body parts,body part
digits,digit
members,member
scarves,scarf
bolts,bolt
screws,screw
runs,run
locks,lock
doors,door
flees,flee
sprints,sprint
whips,whip
restraints,restraint
shackles,shackle
links,link
shares,share
attachments,attachment
connections,connection
constraints,constraint
dominoes,domino
trombones,trombone
flames,flame
marshmallows,marshmallow
logs,log
snores,snore
vanities,vanity
sparks,spark
frills,frill
hiss,his
nipples,nipple
boobies,booby
idiots,idiot
mammaries,mammary
jerks,jerk
jugs,jug
knockers,knocker
tittles,tittle
boogers,booger
seventies,seventy
pencils,pencil
shelves,shelve
accounts,account
columns,column
receipts,receipt
novels,novel
tomes,tome
volumes,volume
heels,heel
willies,willy
buckles,buckle
pirates,pirate
winnings,winning
kinds,kind
jars,jar
containers,container
caps,cap
boundaries,boundary
borders,border
limits,limit
fences,fence
areas,area
limitations,limitation
valentines,valentine
bowels,bowel
depths,depth
insides,inside
lanes,lane
plates,plate
cups,cup
dishes,dish
spoons,spoon
gloves,glove
briefs,brief
boxers,boxer
fighters,fighter
drawers,drawer
prints,print
pugilists,pugilist
cartons,carton
crates,crate
packages,package
fights,fight
hits,hit
lads,lad
males,male
snails,snail
badges,badge
knots,knot
tents,tent
panties,panty
suspenders,suspender
pearls,pearl
supports,support
brackets,bracket
crutches,crutch
parentheses,parenthesis
neurons,neuron
brains,brain
weeds,weed
flakes,flake
cereals,cereal
twigs,twig
diverges,diverge
possibilities,possibility
splits,split
sticks,stick
snaps,snap
knuckles,knuckle
tacks,tack
cheers,cheer
fists,fist
analyses,analysis
champions,champion
implants,implant
puppies,puppy
rabbits,rabbit
spirits,spirit
barrels,barrel
kegs,keg
holes,hole
knicker,knickers
lawyers,lawyer
informs,inform
legal documents,legal document
summaries,summary
cases,case
reports,report
pickles,pickle
isles,isle
colonies,colony
cracks,crack
shoulders,shoulder
hips,hip
strokes,stroke
musicals,musical
shows,show
theaters,theater
carrots,carrot
deals,deal
shields,shield
bros,bro
hoes,ho
hos,ho
sisters,sister
dudes,dude
pals,pal
prostitutes,prostitute
whores,whore
comrades,comrade
frats,frat
siblings,sibling
brethren,brother
girl scouts,girl scout
rolling stones,rolling stone
bristles,bristle
brushes,brush
combs,comb
paints,paint
sweeps,sweep
touches,touch
brooms,broom
cleans,clean
encounters,encounter
needless,needles
boils,boil
pustules,pustule
sores,sore
statues,statue
expenses,expense
smugglers,smuggler
gals,gal
errors,error
taps,tap
annoys,annoy
beetles,beetle
bothers,bother
arachnids,arachnid
cockroaches,cockroach
irritates,irritate
materials,material
skyscrapers,skyscraper
offices,office
structures,structure
architects,architect
cities,city
constructions,construction
edifices,edifice
erections,erection
towers,tower
jowls,jowl
bs,b
transformers,transformer
bumps,bump
lumps,lump
humps,hump
chills,chill
hillocks,hillock
speed bumps,speed bump
coconuts,coconut
beds,bed
barracks,barrack
rolls,roll
ovens,oven
investigations,investigation
robbers,robber
tables,table
hedges,hedge
shrubs,shrub
presidents,president
gardens,garden
eyebrows,eyebrow
knives,knife
flutes,flute
fasteners,fastener
zippers,zipper
shirts,shirt
clasps,clasp
coats,coat
knobs,knob
purchases,purchase
gigs,gig
wires,wire
spines,spine
needles,needle
graphics,graphic
trays,tray
desserts,dessert
birthdays,birthday
derivatives,derivative
months,month
days,day
deadlines,deadline
movie stars,movie star
raisins,raisin
seas,sea
joules,joule
kilojoules,kilojoule
video games,video game
s'mores,s'more
guides,guide
rockies,rocky
islands,island
mines,mine
matches,match
snickers,snicker
rapids,rapid
tins,tin
fires,fire
preserves,preserve
canvass,canvas
votes,vote
demographics,demographic
bankers,banker
corporations,corporation
subtitles,subtitle
repairs,repair
camels,camel
gypsies,gypsy
pioneers,pioneer
wagons,wagon
crabs,crab
grains,grain
sugars,sugar
emissions,emission
musketeers,musketeer
cardinals,cardinal
clubs,club
tampons,tampon
mistakes,mistake
whispers,whisper
palm trees,palm tree
tropics,tropic
masks,mask
rugs,rug
genes,gene
vultures,vulture
trucks,truck
automobiles,automobile
autos,auto
vehicles,vehicle
engines,engine
funnies,funny
animations,animation
sketches,sketch
falls,fall
detectives,detective
bucks,buck
snacks,snack
ceramics,ceramic
roles,role
sears,sear
castles,castle
lyrics,lyric
categories,category
labels,label
lists,list
types,type
fins,fin
pews,pew
priests,priest
felines,feline
tomatoes,tomato
bulls,bull
burns,burn
bats,bat
caves,cave
stalactites,stalactite
stalagmites,stalagmite
alligators,alligator
good times,good time
new years,new year
beings,being
gods,god
calls,call
organelles,organelle
organisms,organism
prisons,prison
celts,celt
druids,druid
graves,grave
ghosts,ghost
skeletons,skeleton
newspapers,newspaper
libraries,library
inches,inch
cents,cent
pennies,penny
cornflakes,cornflake
foods,food
secrets,secret
giants,giant
winners,winner
finals,final
chances,chance
opportunities,opportunity
tries,try
risks,risk
bets,bet
voices,voice
weddings,wedding
chaps,chap
fellows,fellow
bikers,biker
blokes,bloke
leathers,leather
mates,mate
features,feature
ions,ion
donations,donation
ams,am
exams,exam
fraughts,fraught
pompoms,pompom
pom-poms,pompom
compounds,compound
labs,lab
medicines,medicine
toxins,toxin
trails,trail
goggles,goggle
pheromones,pheromone
pits,pit
conkers,conker
jaws,jaw
noises,noise
cavities,cavity
mints,mint
lakes,lake
museums,museum
chickpeas,chickpea
nuggets,nugget
shingles,shingle
dots,dot
red spots,red spot
hens,hen
roosters,rooster
chicks,chick
cowards,coward
thighs,thigh
lentils,lentil
hurts,hurt
bicycles,bicycle
peppers,pepper
hairs,hair
chopsticks,chopstick
crisps,crisp
dips,dip
gentlemen,gentleman
decisions,decision
alternatives,alternative
selections,selection
fats,fat
doctors,doctor
levels,level
chops,chop
cuts,cut
utensils,utensil
obligations,obligation
carols,carol
ornaments,ornament
pairs,pair
chromosomes,chromosome
diseases,disease
downs,down
loonies,loony
ans,an
cigars,cigar
fags,fag
smokes,smoke
cubans,cuban
tacos,taco
fairy tales,fairy tale
circles,circle
ovals,oval
rounds,round
surrounds,surround
arcs,arc
orbs,orb
rectangles,rectangle
spirals,spiral
vessels,vessel
happenings,happening
circumstances,circumstance
situations,situation
conditions,condition
reasons,reason
acrobats,acrobat
civics,civic
limes,lime
liberties,liberty
rebels,rebel
cavaliers,cavalier
claims,claim
says,say
accusations,accusation
asserts,assert
declares,declare
demands,demand
wants,want
palms,palm
scots,scot
clarities,clarity
titans,titan
clans,clan
desks,desk
classes,class
courses,course
subjects,subject
classics,classic
greats,great
small spaces,small space
indoors,indoor
tight spaces,tight space
closets,closet
elevators,elevator
talons,talon
fangs,fang
hooks,hook
clogs,clog
sea levels,sea level
skeptics,skeptic
clips,clip
peaches,peach
symptoms,symptom
fingernails,fingernail
toenails,toenail
clocks,clock
hangers,hanger
costs,cost
credits,credit
garments,garment
duds,dud
fabrics,fabric
dusters,duster
meatballs,meatball
four leaves,four leaf
comedians,comedian
red noses,red nose
men's,men
blue's,blue
hints,hint
suggestions,suggestion
gears,gear
cliffs,cliff
elves,elf
cobblestones,cobblestone
controls,control
dials,dial
puffs,puff
abilities,ability
linguistics,linguistic
cogs,cog
machines,machine
hogs,hog
spindles,spindle
peers,peer
dimes,dime
heads,head
stamps,stamp
dolls,doll
sayings,saying
sanders,sander
pilgrims,pilgrim
lepers,leper
crayons,crayon
springs,spring
broncos,bronco
hues,hue
louse,lice
nits,nit
martial arts,martial art
enters,enter
orgasms,orgasm
joins,join
attends,attend
and goes,and go
approaches,approach
cums,cum
follows,follow
happens,happen
visits,visit
cushions,cushion
sweats,sweat
watchmen,watchman
superheroes,superhero
heroes,hero
stand ups,stand up
sentences,sentence
commons,common
wafers,wafer
guests,guest
visitors,visitor
associates,associate
differences,difference
religions,religion
prices,price
similarities,similarity
wages,wage
teams,team
obeys,obey
it's,it
regulations,regulation
ingredients,ingredient
sections,section
contents,content
nutrients,nutrient
fractions,fraction
nerds,nerd
inwards,inward
drops,drop
drips,drip
condiments,condiment
sauces,sauce
depends,depend
requirements,requirement
parameters,parameter
specifications,specification
sins,sin
settings,setting
expectations,expectation
companies,company
celebrations,celebration
jubilations,jubilation
liars,liar
hypocrites,hypocrite
thieves,thieve
vikings,viking
phonetics,phonetic
prunes,prune
bis,bi
principles,principle
beams,beam
builders,builder
contacts,contact
emails,email
addresses,address
leftovers,leftover
contains,contain
satisfies,satisfy
continents,continent
parties,party
levers,lever
directs,direct
steers,steer
switches,switch
commands,command
dictates,dictate
sneakers,sneaker
trainers,trainer
outwards,outward
recipes,recipe
meals,meal
chocolate chips,chocolate chip
crumbles,crumble
pans,pan
runnings,running
temperatures,temperature
colleagues,colleague
photocopies,photocopy
amounts,amount
admits,admit
policemen,policeman
takes,take
kernels,kernel
grits,grit
crossroads,crossroad
gourds,gourd
engineers,engineer
doorways,doorway
stays,stay
cosmetics,cosmetic
rays,ray
billions,billion
advisors,advisor
chambers,chamber
king's,king
lands,land
regions,region
counties,county
cultures,culture
flags,flag
languages,language
meadows,meadow
captains,captain
ups,up
parcels,parcel
protects,protect
lids,lid
albums,album
conceals,conceal
ops,op
spurs,spur
lassos,lasso
cowgirls,cowgirl
ranches,ranch
stetsons,stetson
cuddles,cuddle
jacks,jack
saltines,saltine
jacobs,jacob
hobbies,hobby
makes,make
projects,project
peaks,peak
nooks,nook
periods,period
crawdads,crawdad
texts,text
eights,eight
floorboards,floorboard
boards,board
bagels,bagel
chives,chive
comforts,comfort
apostles,apostle
assassins,assassin
vines,vine
potato chips,potato chip
walkers,walker
paths,path
traffic lights,traffic light
privates,private
masses,mass
gatherings,gathering
malls,mall
mobs,mob
ravens,raven
boasts,boast
caws,caw
rooks,rook
christians,christian
intentions,intention
catacombs,catacomb
rubies,ruby
dices,dice
sandwiches,sandwich
wrists,wrist
monies,money
mormons,mormon
traditions,tradition
norms,norm
mores,more
mugs,mug
sprinkles,sprinkle
valentine's,valentine
saucers,saucer
bras,bra
beakers,beaker
tolls,toll
rollers,roller
issues,issue
bends,bend
turns,turn
costumes,costume
dances,dance
forks,fork
slices,slice
snips,snip
slashes,slash
pedals,pedal
ovaries,ovary
dukes,duke
busters,buster
beavers,beaver
spores,spore
whoops,whoop
finches,finch
turtles,turtle
confessionals,confessional
figs,fig
appointments,appointment
apricots,apricot
couples,couple
24 hours,24 hour
weeks,week
lives,life
soaps,soap
myths,myth
nopes,nope
nineties,ninety
riches,rich
tens,ten
codes,code
downwards,downward
messages,message
furnishings,furnishing
ticks,tick
masters,master
bachelors,bachelor
master's,master
increments,increment
measures,measure
qualifications,qualification
variations,variation
explosives,explosive
wolves,wolf
levis,levi
miners,miner
hatters,hatter
gums,gum
fillings,filling
dentures,denture
armpits,armpit
sociopaths,sociopath
rams,ram
roller skate,roller skates
adjectives,adjective
dunes,dune
lizards,lizard
icons,icon
housewives,housewife
minions,minion
afters,after
lasers,laser
specifics,specific
particulars,particular
ts,t
raindrops,raindrop
gems,gem
trots,trot
craps,crap
pips,pip
meanings,meaning
definitions,definition
does,do
reader's,reader
readers,reader
acids,acid
juices,juice
lesbians,lesbian
fronds,frond
axes,axe
returns,return
fifties,fifty
50s,50
eats,eat
doorbells,doorbell
reptiles,reptile
negotiations,negotiation
relations,relation
straits,strait
straights,straight
disciples,disciple
believers,believer
profits,profit
flares,flare
topics,topic
princesses,princess
arguments,argument
dis,diss
miles,mile
meters,meter
kilometers,kilometer
fliers,flier
tabs,tab
nurses,nurse
hospitals,hospital
physicians,physician
experts,expert
healers,healer
medics,medic
professionals,professional
specialists,specialist
surgeons,surgeon
tardies,tardy
dales,dale
folders,folder
archives,archive
forms,form
writes,write
completes,complete
performs,perform
achieves,achieve
attempts,attempt
finishes,finish
canines,canine
tails,tail
hounds,hound
tongues,tongue
greenbacks,greenback
puppets,puppet
dens,den
entrances,entrance
portals,portal
barriers,barrier
exits,exit
handles,handle
hinges,hinge
receptors,receptor
dwarfs,dwarf
bunks,bunk
dashes,dash
polka dots,polka dot
specks,speck
services,service
dads,dad
cons,con
servants,servant
rescuers,rescuer
bakers,baker
baker's,baker
dragons,dragon
dungeons,dungeon
hangs,hang
lays,lay
painters,painter
nightmares,nightmare
aspirations,aspiration
fantasies,fantasy
ambitions,ambition
daydreams,daydream
visions,vision
skirts,skirt
gowns,gown
ladies,lady
wears,wear
salads,salad
mangoes,mango
beverages,beverage
imbibes,imbibe
sips,sip
breaks,break
fumbles,fumble
spills,spill
naps,nap
narcotics,narcotic
addicts,addict
painkillers,painkiller
prescriptions,prescription
drumsticks,drumstick
beats,beat
bongos,bongo
pistols,pistol
geese,goose
ducklings,duckling
dodges,dodge
drakes,drake
evades,evade
vents,vent
library books,library book
paces,pace
overalls,overall
khakis,khaki
levi's,levi
ores,ore
lasts,last
shadows,shadow
bunnies,bunny
mites,mite
tulips,tulip
windmills,windmill
discs,disc
little people,little person
midgets,midget
beards,beard
gnomes,gnome
railroads,railroad
rulers,ruler
earnings,earning
dividends,dividend
studs,stud
earlobes,earlobe
q-tips,q-tip
pastels,pastel
piano keys,piano key
dolphins,dolphin
sound waves,sound wave
markets,market
mushrooms,mushroom
inventions,invention
videos,video
owls,owl
appliances,appliance
